Run,Efficiency,Epack_Wh_kg,L_over_D,Harvest_kW,SiC_Gain,Range_km
1166,0.880130949238116,428.608287542221,22.0009219663483,11.0096368958408,1.09268209366859,4744.46250358894
1167,0.923751244948036,468.711408257482,21.0600175055096,22.7628114461584,1.37842996519727,5475.24086247567
1168,0.98,212.437027288177,26.0935915512236,10.3292214766815,1,2632.72149542162
1169,0.98,738.345112436872,22.3794880995646,7.14467266270474,1.1871985422765,9065.73296498003
1170,0.840507322055729,649.228252715231,22.5922965261471,11.1269813902886,1.07350652213238,6849.07067915024
1171,0.911226012967436,602.748762464471,17.1487087019664,11.6455628639199,1.08453407775493,6897.33961497121
1172,0.926099163787788,551.500764873029,23.0657328301677,16.3451632632822,1,6429.71669080577
1173,0.98,307.684863212669,15.2278024658488,10.7063980455734,1.04586542130656,3800.61638460918
1174,0.98,527.914025332792,20.4587064603919,14.4598716355317,1.05649969719225,6509.45883293516
1175,0.98,380.824289261256,15,18.4385970648531,1.26687509637968,4719.30701882106
1176,0.893767665669105,210.930476639664,23.9808298214039,13.7378637798862,1.39191930752255,2393.37087188429
1177,0.733212337801638,397.58719241332,20.4413936383305,8.3265994324781,1,3662.26343167447
1178,0.774556710042702,444.348336166206,20.5270309753881,20.5984612411352,1.00581248070626,4350.02634628569
1179,0.913872830621379,517.141318349587,26.8836085372505,10.339876055356,1.14377291421216,5935.86550078956
1180,0.916602068814465,458.876890280883,17.9342207115755,20.4656030549339,1,5313.87027933163
1181,0.800444443638223,374.54667590191,22.1454160320442,22.833402224732,1.29042192973742,3802.37817993105
1182,0.95308985452003,758.819904391296,20.8846325945172,13.2797720953499,1.27976957451905,9078.26485170329
1183,0.833398334998713,424.576904242259,16.4688262601997,16.4161164090289,1.45624657635244,4464.06455567737
1184,0.923699938919158,330.183514824829,26.517484430071,14.6952026279771,1,3853.10302925719
1185,0.875634361117338,598.273138510201,16.70386889196,12.9316569753022,1.25285095617947,6582.32667724433
1186,0.897024836567399,501.863886819613,21.7653388625819,26.8515715272916,1.18072358948734,5699.56421785058
1187,0.907206088732843,306.453190833093,22.9782546334947,25.0406873892331,1.04366298131361,3543.35370013908
1188,0.861372393613158,254.234877637934,22.8839301041901,12.0150473110198,1.1036411005813,2768.4346038217
1189,0.923849101690215,492.97990017338,24.4216093650487,18.8538072454138,1.22906252359002,5745.24219274271
1190,0.825245523689101,479.357149201673,18.0484034672123,18.1602959283997,1.06293007590105,4989.80187910946
1191,0.921122047302921,328.538500240319,15.5669525563569,29.8626547864213,1.03064960764496,3865.32214863423
1192,0.798986588822994,747.674795652474,24.8184482394084,15.062851298513,1.07317987043967,7503.38173012208
1193,0.938910359152822,410.004168802971,22.4789236287156,14.080298489113,1.1334145134486,4851.62493164608
1194,0.94953328108132,419.716518139085,25.286290197264,8.46915846785399,1,5005.81027589184
1195,0.833676337425457,704.446933491136,27.0817621392731,21.1981868789541,1.40955557958672,7394.02652318548
1196,0.905227125831638,407.772622720888,24.2915407945782,8.62161863852981,1.19809466524756,4637.49905991124
1197,0.777928959690101,541.459339064449,21.9179004348568,16.1868083411998,1.14851811132646,5302.98781533193
1198,0.957637800877747,402.670762022691,20.7165084405317,7.63399258973137,1,4842.09108739135
1199,0.882144040690187,376.784753124342,25.072838891098,9.1036494872635,1.13355938689769,4178.82249782569
1200,0.931485507354117,581.888549445678,21.4998955300619,12.7916242222973,1,6811.00502153524
1201,0.921078666260302,424.867578218725,17.3546009218871,25.1480319010345,1,4961.19572558427
1202,0.98,624.798744325515,25.2198515312509,16.2763786994343,1.095342083886,7701.6371713639
1203,0.935773623043686,327.48105452007,25.8083034415549,7.74732666271684,1.03365494821908,3852.35089265038
1204,0.940271202320929,385.238336093382,21.9165896691009,6.79075608347201,1.15205834182119,4547.0118753948
1205,0.861648653525646,200,18.1325741513767,14.0618331703122,1,2190.47071266602
1206,0.960277810900346,516.672462358875,20.6622103523305,15.0811742669172,1.03402095982276,6245.31011486343
1207,0.98,401.1112988091,22.7514987834039,13.0092619823249,1,4951.86064063951
1208,0.850448934411113,571.99620055366,25.0616135732296,13.2293345567507,1.56078431847897,6114.42211103109
1209,0.98,440.249134093333,20.0052136000776,3.1996999020768,1.12440892717354,5402.45901035544
1210,0.912137610029024,545.861335394015,20.4305386486519,11.4860315700018,1.2220241593459,6255.1886975743
1211,0.98,378.444226315261,25.7396638783876,25.8901265444355,1,4712.05874440259
1212,0.98,511.159052834861,21.2977630280624,22.2269146981846,1,6327.04552643971
1213,0.846333496897055,506.071555744245,22.5557742395583,12.7841383315673,1.17531219145592,5386.27530166141
1214,0.98,539.075739038375,29.1388752904245,16.0825222169132,1.01540480906786,6650.96041853782
1215,0.76935097710252,573.344638017572,17.3724130299089,25.5433963991185,1.12536170011402,5572.74622937591
1216,0.878057864040318,473.98485682728,25.1565327833853,4.51767066472698,1,5214.22696592814
1217,0.857274072274561,510.919455914526,17.9113090921936,25.1880051005851,1.30724200292444,5539.75410331701
1218,0.98,351.840869611724,20.7157277044314,25.1054273063621,1.10600387129679,4383.86060902432
1219,0.87388164640863,200,28.9164099404365,6.86047960750643,1,2202.68985766526
1220,0.838877676759955,732.046225229242,21.5319597814177,7.9344636358601,1,7696.18359202858
1221,0.778443675605156,475.470671306306,20.2910127583114,30.265136755436,1,4697.26832557243
1222,0.888084230132242,548.392199656261,20.7792854442786,15.9568336666714,1.14969349664168,6130.24384255486
1223,0.853089919287649,449.105138377522,20.0464455743464,12.2971785670814,1.23225138934689,4820.56012534063
1224,0.918336999032381,303.95241807109,20.5430771091976,13.8619843554015,1,3527.32431259122
1225,0.776103439011056,495.764851951555,16.5119327229522,19.6893391553542,1,4855.40297324609
1226,0.98,424.304730809274,20.8631873139089,17.8739776666961,1.15344053472559,5250.28244675369
1227,0.953958805432558,379.20882957716,21.6898893927671,29.0674167802437,1.12654830137606,4605.05738047739
1228,0.890985911055533,448.262155933845,22.8340264945742,7.71468014258435,1.01611061132785,5013.06183140146
1229,0.848794137801369,272.062930061457,23.3240490825194,15.4923762127139,1,2926.01726619525
1230,0.896715791983004,472.849694904998,25.6599683547613,15.9703834089643,1,5343.11004321624
1231,0.94698622612265,361.502402809379,17.6711187388484,14.1518754432961,1.19200130936675,4319.42734548986
1232,0.826660014525821,545.146751759434,17.812252193366,12.5508836318927,1.33470163603411,5664.26371253833
1233,0.846347616245549,312.412025734414,24.4381481941702,19.8382294234044,1,3355.48478038364
1234,0.964608696248142,441.014144410205,21.8604487174799,17.6155237152657,1.1104356444479,5368.5522479256
1235,0.836490197790754,287.95383871462,16.1999659180706,14.9540370166371,1.03323569255747,3048.40875990794
1236,0.870724482632831,269.320069342236,23.5053527149864,15.7831028091197,1.0502080882903,2972.52292759165
1237,0.98,417.080065606174,23.3893971433857,11.2683917106517,1,5142.35987530495
1238,0.98,436.081693267648,22.1868239286814,15.4054618761236,1.24913518607465,5387.2928004445
1239,0.899968751089402,494.165167961237,17.1898531195931,17.7679577906922,1.0679324587989,5607.13693337139
1240,0.98,364.203476961265,24.488036428317,15.134207703226,1.12437008508677,4505.98716342298
1241,0.792037993112148,539.696208123935,22.8976186188141,25.9079413252128,1,5404.80899121764
1242,0.98,678.730805931823,24.9332790761455,16.1412820560113,1,8361.90774190951
1243,0.916492927357464,610.515485196989,24.1267559633729,11.4012379170463,1,7025.51151455792
1244,0.98,245.802551526298,25.7397973483186,22.2232086066536,1.24155478712421,3076.41748950071
1245,0.98,441.115346334733,22.2441373830316,13.5166015010456,1,5443.40180101356
1246,0.98,371.54308413317,21.1095151678712,11.544367027103,1.16036808408415,4585.34321969101
1247,0.98,405.213277044542,23.151403756295,14.1048127795773,1,5005.3307933676
1248,0.925059942218043,632.516390361218,23.5466146763059,14.1153080723495,1.04754959922283,7353.11721220331
1249,0.888474368062178,417.149790053821,24.1437988868852,16.7225426189035,1.05827467600151,4677.40885277391
